Gene A Standard Name,Gene B Standard Name,Experiment,Interaction Type,Annotation Type,Gene A Interaction Role,Interaction Method,PubMed ID,Reference,Human Homolog A,Human Homolog B
SEC21,SEC24,"Graef M, et al. (2013)-23904270-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,23904270,"Graef M, et al. (2013) ER exit sites are physical and functional core autophagosome biogenesis components. Mol Biol Cell 24(18):2918-31",26958,9632
HHT2,ALT1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",126961,2875
FKH2,PRT1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",22887,8662
RPO21,RSP5,"Wang G, et al. (1999)-9858558-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,9858558,"Wang G, et al. (1999) Functional domains of the Rsp5 ubiquitin-protein ligase. Mol Cell Biol 19(1):342-52",5430,57154
PMS1,MLH1,"Srivatsan A, et al. (2014)-24550389-Co-purification",physical,manually curated,Hit,Co-purification,24550389,"Srivatsan A, et al. (2014) Mispair-specific recruitment of the Mlh1-Pms1 complex identifies repair substrates of the Saccharomyces cerevisiae Msh2-Msh3 complex. J Biol Chem 289(13):9352-64",5395,27030
PHO2,PHO4,"Hirst K, et al. (1994)-7957107-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,7957107,"Hirst K, et al. (1994) The transcription factor, the Cdk, its cyclin and their regulator: directing the transcriptional response to a nutritional signal. EMBO J 13(22):5410-20",3232,23462
HIS5,HSP82,"Girstmair H, et al. (2019)-31399574-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,31399574,"Girstmair H, et al. (2019) The Hsp90 isoforms from S. cerevisiae differ in structure, function and client range. Nat Commun 10(1):3626",56267,3320
HHF2,HHF1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8359,8359
ESA1,ARP4,"Nourani A, et al. (2001)-11604499-Co-purification",physical,manually curated,Bait,Co-purification,11604499,"Nourani A, et al. (2001) Role of an ING1 growth regulator in transcriptional activation and targeted histone acetylation by the NuA4 complex. Mol Cell Biol 21(22):7629-40",11143,139741
RAD50,ISW1,"Babour A, et al. (2016)-27863241-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,27863241,"Babour A, et al. (2016) The Chromatin Remodeler ISW1 Is a Quality Control Factor that Surveys Nuclear mRNP Biogenesis. Cell 167(5):1201-1214.e15",10111,8467
HSC82,GCN5,"Lee KK, et al. (2011)-21734642-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,21734642,"Lee KK, et al. (2011) Combinatorial depletion analysis to assemble the network architecture of the SAGA and ADA chromatin remodeling complexes. Mol Syst Biol 7:503",3320,11176
NOP53,RPL9B,"Fromm L, et al. (2017)-29176610-Co-purification",physical,manually curated,Bait,Co-purification,29176610,"Fromm L, et al. (2017) Reconstitution of the complete pathway of ITS2 processing at the pre-ribosome. Nat Commun 8(1): 1787.",29997,6133
RHO5,TMA19,"Singh K, et al. (2019)-30670610-PCA",physical,high-throughput,Bait,PCA,30670610,"Singh K, et al. (2019) Genome-Wide Studies of Rho5-Interacting Proteins That Are Involved in Oxidant-Induced Cell Death in Budding Yeast. G3 (Bethesda) 9(3):921-931",998,7178
CLB6,CCR4,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",891,57472
SSB2,BDH1,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",3303,6652
MET30,CDC53,"Sadhu MJ, et al. (2014)-24648496-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,24648496,"Sadhu MJ, et al. (2014) Multiple inputs control sulfur-containing amino acid synthesis in Saccharomyces cerevisiae. Mol Biol Cell 25(10):1653-65",26190,8452
OSH2,BCK1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",23762,10746
HTA2,HHF2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8338,8368
PRP11,TMN3,"Fromont-Racine M, et al. (1997)-9207794-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,9207794,"Fromont-Racine M, et al. (1997) Toward a functional analysis of the yeast genome through exhaustive two-hybrid screens. Nat Genet 16(3):277-82",8175,9375
SSA1,GTS1,"Sanada M, et al. (2011)-21307595-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,21307595,"Sanada M, et al. (2011) Inhibition of heat tolerance and nuclear import of Gts1p by Ssa1p and Ssa2p. Biosci Biotechnol Biochem 75(2):323-30",3311,28964
SNF1,GLO3,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",28951,116984
SWE1,CDC24,"Drees BL, et al. (2001)-11489916-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,11489916,"Drees BL, et al. (2001) A protein interaction map for cell polarity development. J Cell Biol 154(3):549-71",7465,7409
CDC11,KNS1,"Yu H, et al. (2008)-18719252-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,18719252,"Yu H, et al. (2008) High-quality binary protein interaction map of the yeast interactome network. Science 322(5898):104-10",5413,1195
SSB2,PAN1,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",3303,50618
TWF1,HHT1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",5756,8356
YPT10,GDI1,"Lo SY, et al. (2011)-22157956-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,22157956,"Lo SY, et al. (2011) Intrinsic tethering activity of endosomal Rab proteins. Nat Struct Mol Biol 19(1):40-7",64284,1122
ISW1,HCM1,"Babour A, et al. (2016)-27863241-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,27863241,"Babour A, et al. (2016) The Chromatin Remodeler ISW1 Is a Quality Control Factor that Surveys Nuclear mRNP Biogenesis. Cell 167(5):1201-1214.e15",9557,2295
RRP5,SSA2,"Gong Y, et al. (2009)-19536198-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,19536198,"Gong Y, et al. (2009) An atlas of chaperone-protein interactions in Saccharomyces cerevisiae: implications to protein folding pathways in the cell. Mol Syst Biol 5:275",22984,3304
RPO21,YMR1,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",5430,6305
TAH18,LAC1,"Miller JP, et al. (2005)-16093310-PCA",physical,high-throughput,Hit,PCA,16093310,"Miller JP, et al. (2005) Large-scale identification of yeast integral membrane protein interactions. Proc Natl Acad Sci U S A 102(34):12123-8",4552,253782
SOF1,PUF3,"Lapointe CP, et al. (2015)-26524240-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,26524240,"Lapointe CP, et al. (2015) Protein-RNA networks revealed through covalent RNA marks. Nat Methods 12(12):1163-70",25879,9698
NOP15,ACT1,"Oeffinger M, et al. (2007)-17922018-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,17922018,"Oeffinger M, et al. (2007) Comprehensive analysis of diverse ribonucleoprotein complexes. Nat Methods 4(11):951-6",81892,58
YOR1,GYL1,"Snider J, et al. (2013)-23831759-PCA",physical,high-throughput,Bait,PCA,23831759,"Snider J, et al. (2013) Mapping the functional yeast ABC transporter interactome. Nat Chem Biol 9(9):565-72",368,57533
PSH1,HTA1,"Hewawasam G, et al. (2010)-21070970-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,21070970,"Hewawasam G, et al. (2010) Psh1 is an E3 ubiquitin ligase that targets the centromeric histone variant Cse4. Mol Cell 40(3):444-54",342931,8336
SFC1,FRK1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",203427,83942
MYO2,SNF7,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",140469,92421
YPT32,MYO2,"Casavola EC, et al. (2008)-18221262-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,18221262,"Casavola EC, et al. (2008) Ypt32p and Mlc1p bind within the vesicle binding region of the class V myosin Myo2p globular tail domain. Mol Microbiol 67(5):1051-66",5862,4430
STE20,CLB5,Bhaduri S and Pryciak PM (2011)-21945277-Affinity Capture-Western,physical,manually curated,Bait,Affinity Capture-Western,21945277,Bhaduri S and Pryciak PM (2011) Cyclin-specific docking motifs promote phosphorylation of yeast signaling proteins by G1/S Cdk complexes. Curr Biol 21(19):1615-23,10298,10309
MET4,MET30,"Rouillon A, et al. (2000)-10637232-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,10637232,"Rouillon A, et al. (2000) Feedback-regulated degradation of the transcriptional activator Met4 is triggered by the SCF(Met30 )complex. EMBO J 19(2):282-94",468,23291
GRR1,CLN2,"Willems AR, et al. (1999)-10582239-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,10582239,"Willems AR, et al. (1999) SCF ubiquitin protein ligases and phosphorylation-dependent proteolysis. Philos Trans R Soc Lond B Biol Sci 354(1389):1533-50",84961,890
MGM1,CDC3,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",10059,1731
RAD53,DUN1,"Lee SJ, et al. (2003)-12917350-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,12917350,"Lee SJ, et al. (2003) Rad53 phosphorylation site clusters are important for Rad53 regulation and signaling. Mol Cell Biol 23(17):6300-14",11200,8536
KEL1,KEL2,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",54455,54455
GCN4,SRB4,"Drysdale CM, et al. (1998)-9488488-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,9488488,"Drysdale CM, et al. (1998) The Gcn4p activation domain interacts specifically in vitro with RNA polymerase II holoenzyme, TFIID, and the Adap-Gcn5p coactivator complex. Mol Cell Biol 18(3):1711-24",3726,9440
DNM1,HHT1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",4976,8968
DHH1,SCJ1,"Jungfleisch J, et al. (2017)-27821408-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,27821408,"Jungfleisch J, et al. (2017) A novel translational control mechanism involving RNA structures within coding sequences. Genome Res 27(1):95-106",1656,3301
CRZ1,SMT3,"Hannich JT, et al. (2005)-15590687-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,15590687,"Hannich JT, et al. (2005) Defining the SUMO-modified proteome by multiple approaches in Saccharomyces cerevisiae. J Biol Chem 280(6):4102-10",116039,7341
SEC2,TEF4,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",117177,9521
GCN5,TAF9,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",2648,51616
CHD1,POB3,"Farnung L, et al. (2017)-29019976-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,29019976,"Farnung L, et al. (2017) Nucleosome-Chd1 structure and implications for chromatin remodelling. Nature 550(7677):539-542",55636,27324
NUP2,TOM1,"Sung MK, et al. (2016)-27552055-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,27552055,"Sung MK, et al. (2016) A conserved quality-control pathway that mediates degradation of unassembled ribosomal proteins. Elife 5",727851,51366
NIP100,KEX1,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",6249,5476
PUF3,PET9,"Freeberg MA, et al. (2013)-23409723-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,23409723,"Freeberg MA, et al. (2013) Pervasive and dynamic protein binding sites of the mRNA transcriptome in Saccharomyces cerevisiae. Genome Biol 14(2):R13",23369,292
HEK2,HSL1,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",57060,57787
ROD1,RSP5,"Alvaro CG, et al. (2014)-24820415-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,24820415,"Alvaro CG, et al. (2014) Specific α-arrestins negatively regulate Saccharomyces cerevisiae pheromone response by down-modulating the G-protein-coupled receptor Ste2. Mol Cell Biol 34(14):2660-81",10628,4734
VPS34,VPS1,"Graef M, et al. (2013)-23904270-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,23904270,"Graef M, et al. (2013) ER exit sites are physical and functional core autophagosome biogenesis components. Mol Biol Cell 24(18):2918-31",5288,4976
SAP30,TAF4,"Sanders SL, et al. (2002)-12052880-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,12052880,"Sanders SL, et al. (2002) Proteomics of the eukaryotic transcription machinery: identification of proteins associated with components of yeast TFIID by multidimensional mass spectrometry. Mol Cell Biol 22(13):4723-38",79685,6875
SMK1,CAK1,"Whinston E, et al. (2013)-23207907-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,23207907,"Whinston E, et al. (2013) Activation of the Smk1 mitogen-activated protein kinase by developmentally regulated autophosphorylation. Mol Cell Biol 33(4):688-700",6300,23097
HTA2,CTK2,"Wyce A, et al. (2007)-17643376-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,17643376,"Wyce A, et al. (2007) H2B ubiquitylation acts as a barrier to Ctk1 nucleosomal recruitment prior to removal by Ubp8 within a SAGA-related complex. Mol Cell 27(2):275-88",8330,904
CDC28,HHT1,"Yahya G, et al. (2014)-24374311-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,24374311,"Yahya G, et al. (2014) A Whi7-anchored loop controls the G1 Cdk-cyclin complex at start. Mol Cell 53(1):115-26",1018,8350
